PhraseID,sentiment,sentence
1,p,HiltonGrandVac will invest more in Marriot than Hilton next time. Hotel in Madrid's (booked using HGVC points transfered to H.Honors cancelled due to hotel renovation work. Paying points means they cannot transfer booking. And now have to rebook poorer room on far more points.
2,n,Shocking service from easyJet this week. 2 cancelled flights leaving us in Paris for an extra 2 nights. Plus booking us into a hotel on the wrong day!
3,n,oyorooms fraudsters....... you guys are just extorting money nothing else..... you have flagship hotels that just keeps on laundering money.....FlagshipMajesticInn Kolkata..... just asked for 2200 extra upon my prepayment... cancelled my booking and never got my refund
4,n,"FabHotels Whnevr I book with FabHotels with pay at hotel option, I receive call and message like “Your Booking can Get Cancelled Please act Now” and asked to pay some amount. I feel mentally harassed. Is this a good practice of business? consumerforum_ inconsumerforum"
5,n,DeltaAssist_JP Delta   Stranded in airport for 8 hours and flight cancelled. How about a little help booking a hotel?? Horrible service stranded
6,n,"Eurostar With a hotel + train deal: In case of cancellation of the outward journey, is it still possible to use the booked hotel and the return journey (if not cancelled)? And will we get money back from the candelled outward journey? Or will the entire booking be cancelled?"
7,n,"Finally got on the plane. Once everyone loaded up ; seat belts on the announcement comes that the flight is cancelled _____ absolute joke Ryanair took time off work, losing night booking in a hotel, last minute updates. No food in DublinAirport here since after 5 HowIrelandWorks"
8,n,Still not on the plane. Tried ringing my hotel but no joy _____ hope I'll be able to check in when I finally get to Bristol  Staying in the Ibis Hotel Temple Meads Quay if anyone knows anyone that could let them know or me know if I'm better just staying at the airport IbisHotel
9,n,easyJet you’ve cancelled our flight but the app/website says you can’t manage the booking online and we can’t reach you on the phone. Can you please confirm our hotel and taxi will be reimbursed?
10,n,"MartinDaubney I've had a hotel booking cancelled recently due to them now having ""an exclusive government contract"""
11,n,CBarrieFans While in the process of checking in I was informed my booking had been cancelled as the hotel had been requisitioned by the home office. __
12,n,"Booked a family holiday in good faith with loveholidays. Due to tragedy in Turkey, I cancelled it. Hotel and airline agreed to change for a new date. Hotel agreed hotel booking at no penalty. loveholiday refused to refund over £3,200 or authorise hotel to make change."
13,p,"richer_frank ofpope JoshuaPHilll I’ve never had a single issue with a hotel booking, ever, and deff never had a hotel reservation cancelled less than 24 hrs ahead. I also don’t have to worry about the hotel owner secretly but legally recording me. 
AirBnB is majorly contributing to this awful housing market."
14,n,"I believe we should compile a list of hotels who have alloedillegal migrantsvtovreside in them. IF they sacked their staff, cancelled reservations and ruined wedding plans. we must identify them and advise people from booking in the future."
15,n,"I had booked an oyo hotel on 23 Feb 2023 ( booking ID:- Q0VZ6145 ) and I have made full payment of Rs-816 in advance, but my booking was cancelled without any notice. I didn't get full refund till now even after complaining.
oyorooms https://t.co/rfxOef8wRV"
16,n,"OYO4U Hi, no resolution has been provided till now nor i recieved any call from Oyo team.i paid Rs 245 against the booking but since hotel has denied the checking i have cancelled the booking. pl arrange to refund the amount pl."
17,n,"IHGOneRewards All sorted, cancelled by excellent customer service at the hotel in question.  I will think twice about booking IHG when other hotels are available"
18,n,"MattESCunited Airbnb It also happens on booking .com, where they cancelled THREE days before we went on a trip to Berlin. Only options (at other hotels) were more expensive, so that kinda sucked"
19,p,“One of the best books ever written on how to create a winning mindset. The only book I’ve ever read that actually shares the blueprint for creating and bringing large projects and deals to fruition.”  ~ Frank Zell https://t.co/qKINkVFJ5P
20,p,"From women in science and in sport, to women's role throughout history, discover our WomensHistoryMonth collection.

Find out more: https://t.co/6GgLwaRr0v"
21,p,Surf the web faster and safety with new BRAVE browser
22,p,STOP wasting THOUSANDS of dollars __ with Hubspot and put your marketing on autopilot with Topline®. Say goodbye to over a dozen marketing tools and hello to one easy-to-use platform. __
23,n,bookingcom You keep telling me my booking has been cancelled but I have a receipt and confirming emails from the hotel. Please sort out your system.
24,n,Village_Hotels can you confirm if I’m ok to change tomorrows booking to a different date given the weather situation? Alton towers have cancelled on me for the sat.
25,n,HopperSupport I have a booking of tomorrow morning WJSPDMX9M77G in which when i contacted the hotel then they denied me for check in and cancelled my booking so please refund my amount which i paid partially for this booking
26,n,lastminute_com so well done https://t.co/cJOFjPAcH8 for absolutely fcking up my wife Christmas present.. (booking ref 2208257916) cancelled hotel whilst taking off from Manchester. __. I’ll be in touch
27,n,lastminute_com well well done last https://t.co/091GFYTCac you managed to mess up the wife’s Christmas present to Budapest. Hotel cancelled 5 mins before take off booking ref 2208257916. __. I will be contacting you.
28,p,MandsThompson Saved me some $$. Cancelled my hotel booking. Hopefully it arrives sometime this year __ appreciate the openness.
29,n,agodaindia iamRashmika Very bad experience we booked property and when reached hotel they cancelled our booking don't believe in Agoda ... they don't have call centre in India it's foreign company
30,n,"HolidayGlobe Unfortunately we had a bad experience when booking with this company, hotel cancelled when arrived with no prior notice- had to book and pay for alternative  accommodation and was promised we would get a refund for expenses incurred- contacted the company and no response!"
31,n,"agoda They are not responding, I have raised this issue last month I did not get any update till date, now they are asking for cancelled receipt while hotel staff already denied to accept booking, they told that building was in maintenance. Same I have informed already"
32,n,"Dear oyorooms OYO4U oyolasvegas booked a room on 15 Feb and the hotel staff don't allow me to chek in at the hotel than I cancelled my booking but till now I don't get my refund amount what kind of service is this 
It's totally frustrating https://t.co/TyXQjI3jcD"
33,n,"Has anyone had any issues with HRHIbiza https://t.co/eTgOHd3vdR ? We have booked accommodation 6 months ago, have paid the hotel and now have cancelled our booking and completely uncontactable __ looking for advice __"
34,n,"Hoping 3rd times the charm, after getting a long held AirBnB booking cancelled with no reason, followed by a rejection for a booking because we only wanted it for one night-unsurprisingly hotel prices are now 3xmore (£800!) since I originally booked making that option unviable."
35,n,"agoda I have booked a hotel in phuket. The hotel is denying entry to us saying that agoda paid to ""hotel bay"" but they never paid to the hotel and so the hotel cancelled our booking. Please help to resolve the issue ASAP."
36,n,agoda We are here at the hotel reception Fisherman Harbour resort with booking confirmed in Phuket Thailand and hotel is denying booking saying it's cancelled. Please help ASAP as things are getting worse.
